name,longitude,latitude,basin,riverbed,google,openstreetmap,wikidata,province,autonomous_community,type,crest_elevation,dam_height,report
villalcampo,41.4911858350001,-6.08484394399994,duero,rio duero,,,https://www.wikidata.org/wiki/Q110295767,zamora,castilla y leon,presa fabrica gravedad (hormigon vibrado),805.799999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=483
requejada,42.9062072310001,-4.52945603999996,duero,rio pisuerga,https://www.google.com/search?kgmid=/g/122vx4f3,,https://www.wikidata.org/wiki/Q8775378,palencia,castilla y leon,presa fabrica gravedad (hormigon vibrado),840.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=342
tajera,40.839152359,-2.61773660099993,tajo,rio tajuna,https://www.google.com/search?kgmid=/g/120j8g1j,https://www.openstreetmap.org/relation/8530695,https://www.wikidata.org/wiki/Q5830511,guadalajara,castilla   mancha,presa fabrica boveda,905.5,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=766
camporredondo,42.8991049300001,-4.73748905099995,duero,rio carrion,,,,palencia,castilla y leon,presa fabrica mamposteria,840.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=343
canales,37.1604689060001,-3.48047606499995,guadalquivir,rio  genil,,,https://www.wikidata.org/wiki/Q1032728,granada,andalucia,presa materiales sueltos zonificada o nucleo,426.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1520
huesna,37.769635302,-5.68521394399994,guadalquivir,rivera huesna,,,,sevilla,andalucia,presa materiales sueltos pantalla asfaltica,143.8,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1679
hurones,36.6613705560001,-5.56192533699993,guadalete y barbate,rio majaceite,,,https://www.wikidata.org/wiki/Q3374719,cadiz,andalucia,presa fabrica gravedad (hormigon vibrado),110.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1340
guadalen,38.1615276140001,-3.47795410699996,guadalquivir,rio  guadalen,https://www.google.com/search?kgmid=/g/11x9znn9f,,https://www.wikidata.org/wiki/Q94377393,jaen,andalucia,presa fabrica gravedad (hormigon vibrado),719.549999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1584
cuevas almanzora,37.3275930070001,-1.89673564999993,cuencas mediterraneas andaluzas,rio almanzora,,,,almeria,andalucia,presa materiales sueltos pantalla hormigon,474.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1915
vinuela,36.8603996900001,-4.16443532799997,cuencas mediterraneas andaluzas,rio guaro,https://www.google.com/search?kgmid=/g/120jr2sh,,https://www.wikidata.org/wiki/Q5830515,malaga,andalucia,presa materiales sueltos pantalla hormigon,426.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1966
alcorlo,41.008581625,-3.02478278699994,tajo,rio bornoba,https://www.google.com/search?kgmid=/g/1230_4n6,,https://www.wikidata.org/wiki/Q5830397,guadalajara,castilla   mancha,presa materiales sueltos zonificada o nucleo,906.0,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=768
saucelle,41.047128807,-6.80401964899994,duero,rio duero,,,https://www.wikidata.org/wiki/Q43560800,salamanca,castilla y leon,presa fabrica gravedad (hormigon vibrado),662.12,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=367
torre abraham,39.368362071,-4.25458640099993,guadiana,rio bullaque,https://www.google.com/search?kgmid=/g/12tb837zb,,https://www.wikidata.org/wiki/Q16561613,ciudad real,castilla   mancha,presa fabrica gravedad (hormigon vibrado),607.6,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1102
