id,scope,name,capacity,electric_flag,longitude,latitude,basin,riverbed,google,openstreetmap,wikidata,province,autonomous_community,type,crest_elevation,dam_height,report,real_name
91,ebro,mansilla,68,0,42.158172941,-2.91170796899996,ebro,rio najerilla,https://www.google.com/search?kgmid=/g/120qkkhs,,https://www.wikidata.org/wiki/Q8775359,la rioja,rioja,presa fabrica gravedad (hormigon vibrado),932.0,80.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2682,Mansilla
92,ebro,moneva,8,0,-0.83528815,41.14859315,jucar,riu amadorio,,,,zaragoza,aragon,,320.649999999999,,,Moneva
94,galicia costa,cecebre,22,0,-8.307749097008049,43.287915850000005,jucar,riu amadorio,,,,la coruna,galicia,,320.649999999999,,,Cecebre
95,cuencas internas cataluna,riudecanyes,5,0,41.133459546,0.958540952000021,cuencas internas cataluna,riera riudecanyes,,,,tarragona,cataluna,presa fabrica mamposteria,220.5,51.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2918,Riudecanyes
96,galicia costa,portodemouros,297,1,42.856207614,-8.19033879699998,galicia costa,rio ulla,https://www.google.com/search?kgmid=/g/122wt42q,https://www.openstreetmap.org/relation/1636984,https://www.wikidata.org/wiki/Q49691,pontevedra,galicia,presa materiales sueltos zonificada o nucleo,257.0,91.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=3096,Portodemouros
97,cuencas internas cataluna,boadella,62,0,2.8572023,42.3305346,jucar,riu amadorio,,,,girona,cataluna,,320.649999999999,,,Boadella
98,ebro,tranquera,84,0,41.262569371,-1.79716175699997,ebro,rio piedra,https://www.google.com/search?kgmid=/g/122v8m7x,,https://www.wikidata.org/wiki/Q5830513,zaragoza,aragon,presa fabrica gravedad (hormigon vibrado),687.5,80.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2821,La Tranquera
100,guadalquivir,arenoso,167,0,38.0210076590001,-4.44123809399997,guadalquivir,rio  arenoso,,,https://www.wikidata.org/wiki/Q3376336,cordoba,andalucia,presa materiales sueltos zonificada o nucleo,215.0,77.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1463,Arenoso
108,guadalquivir,sierra boyera,41,0,38.2579828190001,-5.22281439599993,guadalquivir,rio  guadiato,,,https://www.wikidata.org/wiki/Q5369459,cordoba,andalucia,presa mixta,503.0,33.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1433,Sierra Boyera
109,guadalquivir,zufre,179,0,-6.2799212360283,37.82950525,jucar,riu amadorio,,,,leon,castilla y leon,,320.649999999999,,,Zufre
113,guadalete barbate,barbate,228,0,36.37044293,-5.74144173299993,guadalete y barbate,rio barbate,https://www.google.com/search?kgmid=/g/11fx7tz183,,https://www.wikidata.org/wiki/Q5369432,cadiz,andalucia,presa materiales sueltos homogenea,107.2,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1334,Barbate
114,guadiana,aguijon,11,0,38.473447859,-6.92088528799997,guadiana,rio alcarrache,,,,badajoz,extremadura,presa fabrica gravedad (hormigon vibrado),360.649999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=972,Aguijón
115,guadiana,canchales,26,0,38.964354455,-6.52263624799997,guadiana,rio lacara,https://www.google.com/search?kgmid=/g/11b6x7ykth,https://www.openstreetmap.org/relation/2082226,https://www.wikidata.org/wiki/Q18753075,badajoz,extremadura,presa fabrica gravedad (hormigon compactado),360.649999999999,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=953,Los Canchales
