code,name,reservoir,longitude,latitude,basin,riverbed,google,openstreetmap,wikidata,province,autonomous_community,type,crest_elevation,dam_height,report
4060082,molinos matachel,molinos matachel,38.5329287000001,-6.12167919199993,guadiana,rio matachel,,,,badajoz,extremadura,presa materiales sueltos zonificada o nucleo,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1007
7020005,talave,talave reservoir,38.5085969190001,-1.86470514699994,segura,rio mundo,https://www.google.com/search?kgmid=/g/122sg9_l,,https://www.wikidata.org/wiki/Q5830460,albacete,castilla   mancha,presa fabrica mamposteria,512.399999999999,46.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2007
9260019,pajares,pajares reservoir,42.0890324270001,-2.61013101999993,ebro,rio piqueras,https://www.google.com/search?kgmid=/g/122dlpn_,,https://www.wikidata.org/wiki/Q8775368,rioja,rioja,presa materiales sueltos homogenea,1233.0,73.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2679
7020003,camarillas,camarillas reservoir,38.3399580770001,-1.64879497099997,segura,rio mundo,,,https://www.wikidata.org/wiki/Q30908875,albacete,castilla   mancha,presa fabrica gravedad (hormigon vibrado),357.36,43.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2005
2490019,nuestra senora agavanzal,nuestra senora agavanzal,41.9780455630001,-6.14139184999993,duero,rio tera,,,,zamora,castilla y leon,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=486
5410035,gergal,gergal,37.5672733050001,-6.04905378099994,guadalquivir,rivera huelva,,,,sevilla,andalucia,presa fabrica arco gravedad,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1678
2240009,casares arbas,casares arbas,42.92752926,-5.75913376799997,duero,rio casares,,,,leon,castilla y leon,presa fabrica arco gravedad,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=293
3190017,atance,atance reservoir,41.075332577,-2.78506228099997,tajo,rio salado,https://www.google.com/search?kgmid=/g/1217c8pr,,https://www.wikidata.org/wiki/Q6429110,guadalajara,castilla   mancha,presa fabrica gravedad (hormigon compactado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=753
8460004,forata,forata reservoir,39.340702734,-0.86476747599994,jucar,rio magro,https://www.google.com/search?kgmid=/g/1238s588,,https://www.wikidata.org/wiki/Q8775337,valència valencia,comunitat valenciana,presa fabrica gravedad (hormigon vibrado),389.199999999999,68.4,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2301
3280046,pinilla,pinilla reservoir,40.944954572,-3.77411887299996,tajo,rio lozoya,https://www.google.com/search?kgmid=/g/12333j1q,,https://www.wikidata.org/wiki/Q8775372,madrid,comunidad madrid,presa fabrica gravedad (hormigon vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=823
1330010,arbon,arbon,43.4770926850001,-6.73016840999998,cantabrico occidental,rio navia,,,,asturias,principado asturias,presa materiales sueltos zonificada o nucleo,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=140
1320015,conchas,conchas,41.944252453,-8.03492920899993,mino sil,rio limia,,,,ourense,galicia,presa fabrica gravedad (hormigon vibrado),551.0,48.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=100
9010018,urrunaga,urrunaga reservoir,42.957875626,-2.65412456499996,ebro,santa engracia itsasadar,https://www.google.com/search?kgmid=/g/11cn8xwy6q,https://www.openstreetmap.org/relation/27568787,https://www.wikidata.org/wiki/Q20894837,araba alava,pais vasco,presa fabrica contrafuertes,548.0,31.0,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2379
9010019,urrunaga,urrunaga reservoir,42.963849521,-2.63778333499994,ebro,,https://www.google.com/search?kgmid=/g/11cn8xwy6q,https://www.openstreetmap.org/relation/27568787,https://www.wikidata.org/wiki/Q20894837,araba alava,pais vasco,presa fabrica contrafuertes,548.5,13.5,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2380
6110002,charco redondo,charco redondo reservoir,36.2322004530001,-5.54416164299994,cuencas mediterraneas andaluzas,rio canas o palmones,,,https://www.wikidata.org/wiki/Q5830606,cadiz,andalucia,presa materiales sueltos zonificada o nucleo,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1939
8460013,loriguilla,loriguilla reservoir,39.6655252350001,-0.91324766799994,jucar,rio turia o guadalaviar,https://www.google.com/search?kgmid=/g/120jr2sj,,https://www.wikidata.org/wiki/Q8775356,valència valencia,comunitat valenciana,presa fabrica gravedad (hormigon vibrado),322.5,78.67,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2308
5410131,puebla cazalla,puebla cazalla,37.1297715490001,-5.24330867699996,guadalquivir,rio  corbones,,,,sevilla,andalucia,presa fabrica gravedad (hormigon compactado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1773
2090010,uzquiza,uzquiza,42.304453472,-3.36854357999994,duero,rio arlanzon,,,,burgos,castilla y leon,presa materiales sueltos homogenea,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=259
10250002,llosa cavall,llosa cavall,42.099721345,1.58281131400003,cuencas internas cataluna,riu cardener,,,,lleida,cataluna,presa fabrica boveda,810.299999999999,122.299999999999,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2912
